run_id,seed,topology,policy,label,deadline_miss_ratio,redundant_byte_ratio,max_miss_burst,p95_miss_burst,secondary_airtime_fraction,adaptive_actions,actions_t0,actions_t1,actions_t2,actions_t4
869de693b61835e7fda7,20,dual_interface,selective_duplication,Selective 0.20,0.0105555555556,0.012539184953,2,2.0,0.00106925333333,0,0,0,0,0
89c1a73c252a39242e6c,16,dual_interface,fixed_link_1,Single 5 GHz,0.0294444444444,0,3,3.0,0.0,0,0,0,0,0
8a183bde6cdc2470d07e,10,dual_interface,selective_duplication,Selective 0.20,0.00388888888889,0.00787401574803,4,3.549999999999999,0.00093936,0,0,0,0,0
8a1e5ca7c536bdef214b,19,mlo_str,fixed_link_0,MLO,0.000555555555556,0,1,1.0,0.0,0,0,0,0,0
8a1e94be4fe4687616e8,18,dual_interface,fixed_link_1,Single 5 GHz,0.0238888888889,0,4,3.0,0.0,0,0,0,0,0
8b45de574f526d1144b7,22,dual_interface,fixed_link_1,Single 5 GHz,0,0,0,0.0,0.0,0,0,0,0,0
8d34814bde1da86dc117,4,dual_interface,adaptive_airtime_duplication,Adaptive airtime,0,0.200507614213,0,0.0,0.0194209266667,471,209,138,92,32
8eb6717809c644993fa6,12,dual_interface,full_duplication,Full duplication,0,0.5,0,0.0,0.0612296466667,0,0,0,0,0
964d8953478e8dedea6e,4,dual_interface,selective_duplication,Selective 0.20,0.000555555555556,0.00473933649289,1,1.0,0.000358233333333,0,0,0,0,0
9823a7ca0dac56827a07,13,dual_interface,selective_duplication,Selective 0.20,0,0.00158478605388,0,0.0,9.336e-05,0,0,0,0,0
9b12f3da6d7287f086c8,12,mlo_str,fixed_link_0,MLO,0.015,0,6,1.0,0.0,0,0,0,0,0
a3827abaff98da9581a9,30,dual_interface,fixed_link_1,Single 5 GHz,0.0105555555556,0,4,3.3499999999999996,0.0,0,0,0,0,0
a415af50009b4a97f99f,22,dual_interface,adaptive_airtime_duplication,Adaptive airtime,0,0.265734265734,0,0.0,0.0193951733333,672,305,234,125,8
a42dad423a97b0fdf2fa,2,dual_interface,full_duplication,Full duplication,0,0.5,0,0.0,0.09041246,0,0,0,0,0
