family_id,scenario_id,parameter_sample,seed,run,arm_id,run_id,generated_frame_count,completed_frame_count,incomplete_frame_count,deadline_miss_count,all_generated_deadline_miss_rate,completed_frame_hf7_p99_supported,completed_frame_hf7_p99_us,sender_airtime_us,background_throughput_mbps
obss_intensity,obss-intensity-qualification-p16,16,21034,1,distributional_shadow_t2,27c786ccd530ee14c088,1800,1790,10,10,0.005555555555555556,1,19155.609999999953,4896313.0,30.44352
obss_intensity,obss-intensity-qualification-p16,16,21035,1,str_mlo_nmaxinflights_1,52a60158c08ffc9c3232,1800,1722,78,78,0.043333333333333335,1,28665.369999999974,5117593.0,30.492
obss_intensity,obss-intensity-qualification-p16,16,21035,1,score_aware_t2_v2,9fd5c829a18193ed620b,1800,1713,87,87,0.04833333333333333,1,28862.039999999943,6178461.0,30.49248
obss_intensity,obss-intensity-qualification-p16,16,21035,1,distributional_shadow_t2,6f65af4bf7636bb86fb3,1800,1729,71,71,0.03944444444444444,1,26525.240000000005,6384339.0,30.49248
obss_intensity,obss-intensity-qualification-p16,16,21036,1,str_mlo_nmaxinflights_1,c124f2b842ca9fb86cd7,1800,1789,11,11,0.006111111111111111,1,21678.359999999993,4015311.0,30.48688
obss_intensity,obss-intensity-qualification-p16,16,21036,1,score_aware_t2_v2,2afb8ec46b1731c2e499,1800,1790,10,10,0.005555555555555556,1,17850.019999999982,4683221.0,30.48128
obss_intensity,obss-intensity-qualification-p16,16,21036,1,distributional_shadow_t2,2e99e097a9ddc7ba614a,1800,1792,8,8,0.0044444444444444444,1,18996.609999999997,4745187.0,30.48128
obss_intensity,obss-intensity-qualification-p17,17,21037,1,str_mlo_nmaxinflights_1,374e60989154b57c0657,1800,852,948,948,0.5266666666666666,1,32202.45,5934880.0,73.19664
obss_intensity,obss-intensity-qualification-p17,17,21037,1,score_aware_t2_v2,adaa733e5f0ad6c2255f,1800,946,854,854,0.47444444444444445,1,32565.149999999994,6234331.0,74.68288
obss_intensity,obss-intensity-qualification-p17,17,21037,1,distributional_shadow_t2,16da7be60e94ec44212e,1800,940,860,860,0.4777777777777778,1,32463.760000000002,6288155.0,74.64256
obss_intensity,obss-intensity-qualification-p17,17,21038,1,str_mlo_nmaxinflights_1,277e8ac9f98bb63902d3,1800,430,1370,1370,0.7611111111111111,1,32747.97999999999,7745931.0,75.5552
obss_intensity,obss-intensity-qualification-p17,17,21038,1,score_aware_t2_v2,04add1cabc540c207727,1800,379,1421,1421,0.7894444444444444,1,32445.959999999995,7371408.0,75.22848
obss_intensity,obss-intensity-qualification-p17,17,21038,1,distributional_shadow_t2,8f1c8012d37abe19b7a3,1800,406,1394,1394,0.7744444444444445,1,32386.399999999998,7723478.0,75.3312
obss_intensity,obss-intensity-qualification-p17,17,21039,1,str_mlo_nmaxinflights_1,823e021bc9f34dfb16ae,1800,465,1335,1335,0.7416666666666667,1,32382.520000000004,5408570.0,70.70032
obss_intensity,obss-intensity-qualification-p17,17,21039,1,score_aware_t2_v2,fd31d7828880b3849d0d,1800,630,1170,1170,0.65,1,32311.15000000001,5437731.0,70.37616
obss_intensity,obss-intensity-qualification-p17,17,21039,1,distributional_shadow_t2,7889bac5ae485dc001c9,1800,630,1170,1170,0.65,1,32311.15000000001,5183225.0,70.43744
obss_intensity,obss-intensity-qualification-p17,17,21040,1,str_mlo_nmaxinflights_1,75673e48baed381d2775,1800,262,1538,1538,0.8544444444444445,1,32655.159999999996,5157989.0,71.0472
obss_intensity,obss-intensity-qualification-p17,17,21040,1,score_aware_t2_v2,78c1a837b9f2d5686cd4,1800,1210,590,590,0.3277777777777778,1,31732.77000000001,6909059.0,63.00784
obss_intensity,obss-intensity-qualification-p17,17,21040,1,distributional_shadow_t2,a22eb9c7b1727eef28b2,1800,1212,588,588,0.32666666666666666,1,31745.920000000013,7088819.0,62.58384
obss_intensity,obss-intensity-qualification-p18,18,21041,1,str_mlo_nmaxinflights_1,318ba779f4aa734fd3c0,1800,1799,1,1,0.0005555555555555556,1,17890.81999999998,3422886.0,40.88688
obss_intensity,obss-intensity-qualification-p18,18,21041,1,score_aware_t2_v2,ff4fe4abb0e591bfd774,1800,1797,3,3,0.0016666666666666668,1,13735.479999999996,3356875.0,40.8824
obss_intensity,obss-intensity-qualification-p18,18,21041,1,distributional_shadow_t2,c39e701a67be31938564,1800,1799,1,1,0.0005555555555555556,1,11711.439999999997,3772424.0,40.88352
