analysis,bin,calibration_error,count,degradation_profile,effective_bin_count,feature_set,link,mean_probability,model,observed_miss_rate,partition,pipeline_type,probability_max,probability_min,requested_bin_count,sample_offset_us,scenario_id,stage
per_link,6,0.005273249807263108,4318,,10,F0+F1-ideal+F2,0,0.005049777609441531,histogram_gradient_boosting,0.006021306160259379,ood:obss_only,model,0.005534837816859085,0.004617033755015007,10,0,obss_only,T0
per_link,7,0.005273249807263108,4322,,10,F0+F1-ideal+F2,0,0.0062349909555453435,histogram_gradient_boosting,0.007403979639055993,ood:obss_only,model,0.007063934425546638,0.005534867547702706,10,0,obss_only,T0
per_link,8,0.005273249807263108,4320,,10,F0+F1-ideal+F2,0,0.008677686875242965,histogram_gradient_boosting,0.010416666666666666,ood:obss_only,model,0.011575394286219294,0.007064418908516181,10,0,obss_only,T0
per_link,9,0.005273249807263108,4320,,10,F0+F1-ideal+F2,0,0.04145809990110184,histogram_gradient_boosting,0.07731481481481481,ood:obss_only,model,0.9025563363849018,0.011576241253256379,10,0,obss_only,T0
per_link,0,0.09508365224502277,4320,,10,F0+F1-ideal+F2,0,0.0017216348867387194,histogram_gradient_boosting,0.010185185185185186,ood:obss_plus_legacy_mixed8,model,0.0028298187849787517,0.00026009610811942126,10,0,obss_plus_legacy_mixed8,T0
per_link,1,0.09508365224502277,4320,,10,F0+F1-ideal+F2,0,0.003351835609536465,histogram_gradient_boosting,0.013657407407407408,ood:obss_plus_legacy_mixed8,model,0.0038492159296042135,0.0028304420987871476,10,0,obss_plus_legacy_mixed8,T0
per_link,2,0.09508365224502277,4324,,10,F0+F1-ideal+F2,0,0.004376450658662524,histogram_gradient_boosting,0.015263644773358002,ood:obss_plus_legacy_mixed8,model,0.004929531962852771,0.0038497996589963368,10,0,obss_plus_legacy_mixed8,T0
per_link,3,0.09508365224502277,4314,,10,F0+F1-ideal+F2,0,0.00558816470227284,histogram_gradient_boosting,0.01854427445526194,ood:obss_plus_legacy_mixed8,model,0.006367015142277885,0.0049300632575146695,10,0,obss_plus_legacy_mixed8,T0
per_link,4,0.09508365224502277,4322,,10,F0+F1-ideal+F2,0,0.007464249664123672,histogram_gradient_boosting,0.026839426191577972,ood:obss_plus_legacy_mixed8,model,0.008820036204909112,0.006367682404989441,10,0,obss_plus_legacy_mixed8,T0
per_link,5,0.09508365224502277,4320,,10,F0+F1-ideal+F2,0,0.011119264455819731,histogram_gradient_boosting,0.05115740740740741,ood:obss_plus_legacy_mixed8,model,0.014048429225824072,0.008820533104850788,10,0,obss_plus_legacy_mixed8,T0
per_link,6,0.09508365224502277,4320,,10,F0+F1-ideal+F2,0,0.018422901307154287,histogram_gradient_boosting,0.09537037037037037,ood:obss_plus_legacy_mixed8,model,0.02425342429122576,0.01404987476459249,10,0,obss_plus_legacy_mixed8,T0
per_link,7,0.09508365224502277,4320,,10,F0+F1-ideal+F2,0,0.03617994325264762,histogram_gradient_boosting,0.17847222222222223,ood:obss_plus_legacy_mixed8,model,0.053128642623233364,0.02425778783539388,10,0,obss_plus_legacy_mixed8,T0
per_link,8,0.09508365224502277,4320,,10,F0+F1-ideal+F2,0,0.08895692633522338,histogram_gradient_boosting,0.36712962962962964,ood:obss_plus_legacy_mixed8,model,0.14599831994587112,0.05313120855299498,10,0,obss_plus_legacy_mixed8,T0
per_link,9,0.09508365224502277,4320,,10,F0+F1-ideal+F2,0,0.3578619897068179,histogram_gradient_boosting,0.7092592592592593,ood:obss_plus_legacy_mixed8,model,0.9085051353009659,0.1460151225611418,10,0,obss_plus_legacy_mixed8,T0
per_link,0,0.005496361229315594,3447,,10,F0+F1-ideal+F2-exportable,0,7.148199825230938e-05,histogram_gradient_boosting,0.0,in_distribution_test,model,9.057239206055802e-05,4.553863977563515e-05,10,0,,T0
per_link,1,0.005496361229315594,3752,,10,F0+F1-ideal+F2-exportable,0,0.00010312519282984397,histogram_gradient_boosting,0.0,in_distribution_test,model,0.0001196877633241391,9.099849000013095e-05,10,0,,T0
per_link,2,0.005496361229315594,3600,,10,F0+F1-ideal+F2-exportable,0,0.0001638917808480164,histogram_gradient_boosting,0.0,in_distribution_test,model,0.00022979419674531564,0.00011994438861237878,10,0,,T0
per_link,3,0.005496361229315594,3601,,10,F0+F1-ideal+F2-exportable,0,0.00040234506245058385,histogram_gradient_boosting,0.0005554012774229381,in_distribution_test,model,0.0006588276658814114,0.00023008794778201286,10,0,,T0
