analysis,average_precision,brier_score,calibration_error,degradation_profile,effective_calibration_bin_count,eligible_frames,eligible_misses,feature_set,link,model,partition,pipeline_type,prevalence,requested_calibration_bin_count,roc_auc,sample_offset_us,scenario_id,stage,subgroup_dimension,subgroup_value
per_link,0.11341666666666667,0.25,0.38658333333333333,,1,36000,4083,,1,delivery_drought,in_distribution_test,heuristic,0.11341666666666667,10,0.5,0,,T0,,
per_link,0.01474537037037037,0.25,0.4852546296296296,,1,43200,637,,1,delivery_drought,ood:obss_only,heuristic,0.01474537037037037,10,0.5,0,obss_only,T0,,
per_link,0.23430555555555554,0.25,0.26569444444444446,,1,43200,10122,,1,delivery_drought,ood:obss_plus_legacy_mixed8,heuristic,0.23430555555555554,10,0.5,0,obss_plus_legacy_mixed8,T0,,
per_link,0.27614161704063434,0.10237580111379872,0.10717443582578334,,10,36000,4083,,1,byte_service_queue_slack,in_distribution_test,heuristic,0.11341666666666667,10,0.7124902768908068,0,,T0,,
per_link,0.06754225263328384,0.04535410746711668,0.16232948954811832,,10,43200,637,,1,byte_service_queue_slack,ood:obss_only,heuristic,0.01474537037037037,10,0.7333464981690637,0,obss_only,T0,,
per_link,0.47673570704730034,0.16139341869072613,0.12824799717220656,,10,43200,10122,,1,byte_service_queue_slack,ood:obss_plus_legacy_mixed8,heuristic,0.23430555555555554,10,0.7529043576343696,0,obss_plus_legacy_mixed8,T0,,
per_link,0.38548706650999953,0.09844544367089661,0.1266178646376065,,10,36000,4083,,1,packet_count_additive_baseline,in_distribution_test,heuristic,0.11341666666666667,10,0.7316565243684692,0,,T0,,
per_link,0.06647272164197071,0.04390802925492357,0.17178729965318565,,10,43200,637,,1,packet_count_additive_baseline,ood:obss_only,heuristic,0.01474537037037037,10,0.6288463852880969,0,obss_only,T0,,
per_link,0.5948706824053632,0.1608062107968783,0.1630080671747236,,10,43200,10122,,1,packet_count_additive_baseline,ood:obss_plus_legacy_mixed8,heuristic,0.23430555555555554,10,0.7924169320755137,0,obss_plus_legacy_mixed8,T0,,
per_link,0.11647269164829782,0.11122373575249309,0.10406060698404562,,2,36000,4083,F0,1,logistic_regression,in_distribution_test,model,0.11341666666666667,10,0.508142445699245,0,,T0,,
per_link,0.015529391243676957,0.05568325088413787,0.20273190328034188,,2,43200,637,F0,1,logistic_regression,ood:obss_only,model,0.01474537037037037,10,0.5114588657957982,0,obss_only,T0,,
per_link,0.23795717249555423,0.17942336707143652,0.016828281904843295,,2,43200,10122,F0,1,logistic_regression,ood:obss_plus_legacy_mixed8,model,0.23430555555555554,10,0.5064061547255175,0,obss_plus_legacy_mixed8,T0,,
per_link,0.5816737840655685,0.06872643897357726,0.012000223846834735,,10,36000,4083,F0+F1-ideal,1,histogram_gradient_boosting,in_distribution_test,model,0.11341666666666667,10,0.892865542422898,0,,T0,,
per_link,0.2337213828683666,0.012864286036031689,0.008493827218624576,,10,43200,637,F0+F1-ideal,1,histogram_gradient_boosting,ood:obss_only,model,0.01474537037037037,10,0.8065134475514383,0,obss_only,T0,,
per_link,0.7390069274018269,0.1192571093917895,0.07613696437244957,,10,43200,10122,F0+F1-ideal,1,histogram_gradient_boosting,ood:obss_plus_legacy_mixed8,model,0.23430555555555554,10,0.8878047276638159,0,obss_plus_legacy_mixed8,T0,,
per_link,0.5907413647564375,0.06787705433357068,0.01115239871084869,,10,36000,4083,F0+F1-ideal+F2,1,histogram_gradient_boosting,in_distribution_test,model,0.11341666666666667,10,0.8951348798700733,0,,T0,,
per_link,0.23575717284665315,0.012634664451138778,0.008033774533644126,,10,43200,637,F0+F1-ideal+F2,1,histogram_gradient_boosting,ood:obss_only,model,0.01474537037037037,10,0.8023717063829033,0,obss_only,T0,,
per_link,0.7494239169345758,0.11368772183079005,0.0658013469625779,,10,43200,10122,F0+F1-ideal+F2,1,histogram_gradient_boosting,ood:obss_plus_legacy_mixed8,model,0.23430555555555554,10,0.8901797191501722,0,obss_plus_legacy_mixed8,T0,,
per_link,0.5907413647564375,0.06787705433357068,0.01115239871084869,,10,36000,4083,F0+F1-ideal+F2-exportable,1,histogram_gradient_boosting,in_distribution_test,model,0.11341666666666667,10,0.8951348798700733,0,,T0,,
per_link,0.23575717284665315,0.012634664451138778,0.008033774533644126,,10,43200,637,F0+F1-ideal+F2-exportable,1,histogram_gradient_boosting,ood:obss_only,model,0.01474537037037037,10,0.8023717063829033,0,obss_only,T0,,
per_link,0.7494239169345758,0.11368772183079005,0.0658013469625779,,10,43200,10122,F0+F1-ideal+F2-exportable,1,histogram_gradient_boosting,ood:obss_plus_legacy_mixed8,model,0.23430555555555554,10,0.8901797191501722,0,obss_plus_legacy_mixed8,T0,,
per_link,0.605786934158598,0.06652056388269394,0.01142334745992435,,10,36000,4083,F0+F1-ideal+F2+F3,1,histogram_gradient_boosting,in_distribution_test,model,0.11341666666666667,10,0.8971720183391727,0,,T0,,
