family_id,scenario_id,parameter_sample,seed,run,run_id,arm_id,generated_frames,completed_frames,incomplete_frames,late_completed_frames,deadline_misses,deadline_miss_rate,completed_p99_us,censored_mean_us,airtime_link_0_us,airtime_link_1_us,sender_airtime_us,background_bytes_received,actions,completed_actions,action_packets,build_host
radio_propagation,radio-propagation-qualification-p17,17,21007,1,c6d30af6a238f8bb9892,full_copy_t2,1800,1648,152,0,152,0.08444444444444445,30046.879999999997,10872.191111111111,9824343.0,13917080.0,23741423.0,196358400,1800,1404,18900,wifi-exp-f2e354c
legacy_coexistence,legacy-coexistence-qualification-p17,17,21135,1,ca16b8503a3ae351437e,oracle_eventual_missing_repair_t2,1800,1543,257,0,257,0.14277777777777778,32709.14,13907.62388888889,3164901.0,6903019.0,10067920.0,196022400,955,697,9777,wifi-exp-f2e354c
radio_propagation,radio-propagation-qualification-p17,17,21007,1,cfe15cf9f2c5bc93dba5,str_mlo_nmaxinflights_1,1800,1297,503,0,503,0.27944444444444444,32590.519999999997,16984.044444444444,3030900.0,8404358.0,11435258.0,196369200,0,0,0,wifi-exp-f2e354c
radio_propagation,radio-propagation-qualification-p17,17,21008,1,d02ab6d2399ee81d074d,str_mlo_nmaxinflights_1,1800,1609,191,0,191,0.10611111111111111,31492.840000000004,11282.343888888889,1947768.0,6690548.0,8638316.0,197485200,0,0,0,wifi-exp-17-30
radio_propagation,radio-propagation-qualification-p17,17,21006,1,d1c50c857d4c52df9953,full_copy_t0,1800,1760,40,0,40,0.022222222222222223,28241.600000000028,6986.533888888889,6682912.0,18194054.0,24876966.0,203215200,1800,1704,18900,wifi-exp-17-30
obss_intensity,obss-intensity-qualification-p17,17,21040,1,d2109e671d08399157f6,ideal_systematic_fec_12p5_t2,1800,1195,605,0,605,0.33611111111111114,31435.399999999994,16915.946666666667,1628650.0,6468241.0,8096891.0,471182400,1800,786,3690,wifi-exp-17-30
obss_intensity,obss-intensity-qualification-p19,19,21046,1,d2dc10a4ab60b4dd8010,str_mlo_nmaxinflights_1,1800,716,1084,0,1084,0.6022222222222222,32040.8,24395.76,2828887.0,5360119.0,8189006.0,396210600,0,0,0,wifi-exp-17-30
legacy_coexistence,legacy-coexistence-qualification-p17,17,21134,1,d37666a9980c5ca6c75a,str_mlo_nmaxinflights_1,1800,1484,316,0,316,0.17555555555555555,30320.890000000007,11532.193333333333,2952819.0,2385141.0,5337960.0,199928400,0,0,0,wifi-exp-17-30
legacy_coexistence,legacy-coexistence-qualification-p17,17,21135,1,d87259d4d53f6cadf5e0,ideal_systematic_fec_12p5_t2,1800,854,946,0,946,0.5255555555555556,32624.840000000004,22551.702777777777,1464785.0,6903019.0,8367804.0,196140000,1800,1461,3690,wifi-exp-f2e354c
compound_shift,compound-shift-qualification-p19,19,21173,1,d9427b930f0b83b70bdd,full_copy_t0,1800,1763,37,0,37,0.020555555555555556,25790.47999999998,5196.357222222222,4653427.0,7049261.0,11702688.0,175512000,1800,1696,20340,wifi-exp-f2e354c
legacy_coexistence,legacy-coexistence-qualification-p17,17,21134,1,d9e0f5ba7d721365e672,full_copy_t2,1800,1683,117,0,117,0.065,30064.40000000001,8653.932222222222,5825234.0,5281038.0,11106272.0,199460400,1800,1280,18900,wifi-exp-17-30
